نام خودرو,وضعیت,سال,قیمت (تومان),قیمت عددی
سانگ یانگ نیو کوراندو,صفر کیلومتر,نامشخص,"2,500,000,000",2500000000
تویوتا هایس,کارکرده,نامشخص,"2,485,000,000",2485000000
هیوندای آزرا مدل ۲۰۱۲-۲۰۱۳,کارکرده,نامشخص,"2,485,000,000",2485000000
هوندا ENS1,صفر کیلومتر,نامشخص,"2,480,000,000",2480000000
تویوتا GT86,کارکرده,نامشخص,"2,455,000,000",2455000000
هایما ۸S,صفر کیلومتر,نامشخص,"2,450,000,000",2450000000
تویوتا اریون مدل ۲۰۰۹-۲۰۱۱,کارکرده,نامشخص,"2,435,000,000",2435000000
پیکاپ تاگا H,صفر کیلومتر,نامشخص,"2,431,000,000",2431000000
اسکای ول ET5,صفر کیلومتر,نامشخص,"2,420,000,000",2420000000
سانگ یانگ تیوولی مونتاژ,صفر کیلومتر,نامشخص,"2,420,000,000",2420000000
کیا کارنز مدل ۲۰۱۶-۲۰۱۸,کارکرده,نامشخص,"2,395,000,000",2395000000
کیا کادنزا,کارکرده,نامشخص,"2,385,000,000",2385000000
لکسوس is مدل ۲۰۰۹-۲۰۱۲,کارکرده,نامشخص,"2,385,000,000",2385000000
لکسوس CT200h,کارکرده,نامشخص,"2,385,000,000",2385000000
لکسوس IS کروک,کارکرده,نامشخص,"2,385,000,000",2385000000
ام جی GT 2023,صفر کیلومتر,2023,"2,380,000,000",2380000000
تویوتا راوفور مدل ۲۰۰۹-۲۰۱۲,کارکرده,نامشخص,"2,375,000,000",2375000000
لاماری ایما,صفر کیلومتر,نامشخص,"2,370,000,000",2370000000
DS6,کارکرده,نامشخص,"2,355,000,000",2355000000
هیوندای اکسنت مدل ۲۰۲۳,صفر کیلومتر,نامشخص,"2,350,000,000",2350000000
ونوسیا D60 PLUS,صفر کیلومتر,نامشخص,"2,350,000,000",2350000000
میتسوبیشی اوتلندر مدل ۲۰۱۴-۲۰۱۵,کارکرده,نامشخص,"2,335,000,000",2335000000
آئودی TT,کارکرده,نامشخص,"2,335,000,000",2335000000
سانگ یانگ تیوولی,صفر کیلومتر,2018,"2,323,000,000",2323000000
تیارا پرایم,صفر کیلومتر,1403,"2,300,000,000",2300000000
فولکس واگن جتا VS5,صفر کیلومتر,نامشخص,"2,300,000,000",2300000000
هیوندای i40 استیشن,کارکرده,نامشخص,"2,285,000,000",2285000000
